536.000,511.994,11'14'13'' 2017-07-31
536.000,1938.616,11'16'19'' 2017-07-31
536.000,509.356,11'16'22'' 2017-07-31
536.000,511.720,11'16'24'' 2017-07-31
536.000,512.016,11'16'26'' 2017-07-31
536.000,517.996,11'16'28'' 2017-07-31
536.000,512.014,11'16'30'' 2017-07-31
536.000,511.992,11'16'32'' 2017-07-31
536.000,512.008,11'16'34'' 2017-07-31
536.000,512.004,11'16'36'' 2017-07-31
536.000,511.912,11'16'38'' 2017-07-31
536.000,913.812,15'22'25'' 2017-07-31
536.000,474.504,15'22'28'' 2017-07-31
536.000,474.006,15'22'30'' 2017-07-31
536.000,478.232,15'22'32'' 2017-07-31
536.000,477.774,15'22'35'' 2017-07-31
536.000,474.006,15'22'37'' 2017-07-31
536.000,478.252,15'22'39'' 2017-07-31
536.000,473.986,15'22'42'' 2017-07-31
536.000,477.774,15'22'44'' 2017-07-31
536.000,474.008,15'22'46'' 2017-07-31
536.000,476.880,15'26'21'' 2017-07-31
536.000,475.668,15'26'23'' 2017-07-31
536.000,476.856,15'26'25'' 2017-07-31
536.000,477.056,15'26'27'' 2017-07-31
536.000,472.016,15'26'29'' 2017-07-31
536.000,476.942,15'26'31'' 2017-07-31
536.000,477.076,15'26'34'' 2017-07-31
536.000,476.926,15'26'36'' 2017-07-31
536.000,475.370,15'26'38'' 2017-07-31
536.000,2168.426,15'33'03'' 2017-07-31
536.000,659.244,15'33'06'' 2017-07-31
536.000,662.382,15'33'09'' 2017-07-31
536.000,661.640,15'33'13'' 2017-07-31
536.000,657.994,15'33'16'' 2017-07-31
536.000,662.382,15'33'19'' 2017-07-31
536.000,661.636,15'33'23'' 2017-07-31
536.000,658.002,15'33'26'' 2017-07-31
536.000,1534.548,15'45'49'' 2017-07-31
536.000,538.662,15'45'51'' 2017-07-31
536.000,538.002,15'45'54'' 2017-07-31
536.000,538.006,15'46'02'' 2017-07-31
536.000,538.004,15'46'05'' 2017-07-31
536.000,538.010,15'46'07'' 2017-07-31
536.000,538.620,15'46'10'' 2017-07-31
536.000,1500.508,15'55'42'' 2017-07-31
536.000,538.598,15'55'45'' 2017-07-31
536.000,538.004,15'55'47'' 2017-07-31
536.000,538.014,15'55'50'' 2017-07-31
536.000,537.996,15'55'53'' 2017-07-31
536.000,538.002,15'55'55'' 2017-07-31
536.000,538.008,15'55'59'' 2017-07-31
536.000,538.004,15'56'01'' 2017-07-31
536.000,538.006,15'56'04'' 2017-07-31
536.000,1500.720,16'00'40'' 2017-07-31
536.000,538.348,16'00'43'' 2017-07-31
536.000,537.998,16'00'46'' 2017-07-31
536.000,538.012,16'00'48'' 2017-07-31
536.000,538.000,16'00'51'' 2017-07-31
536.000,538.006,16'00'54'' 2017-07-31
536.000,538.002,16'00'56'' 2017-07-31
536.000,538.006,16'00'59'' 2017-07-31
536.000,1447.046,16'09'07'' 2017-07-31
6131.540,12229.142,16'36'32'' 2017-08-01
6131.540,6131.856,16'36'53'' 2017-08-01
6131.540,12876.004,16'41'40'' 2017-08-01
6131.540,12262.898,17'02'43'' 2017-08-02
6131.540,12262.796,17'02'57'' 2017-08-02
6131.540,12262.964,17'04'19'' 2017-08-02
6131.540,12229.208,17'18'00'' 2017-08-02
6131.540,12262.934,17'19'13'' 2017-08-02
6131.540,12262.716,17'20'03'' 2017-08-02
6131.540,12262.716,17'23'14'' 2017-08-02
