首件确认,13'48'10'' 2017-07-12~13'49'01'' 2017-07-12,00D-00'00'51'',13'49'01'' 2017-07-12
首件确认,13'54'32'' 2017-07-12~14'16'07'' 2017-07-12,00D-00'21'35'',14'16'07'' 2017-07-12
首件确认,14'16'59'' 2017-07-12~14'22'25'' 2017-07-12,00D-00'05'26'',14'22'25'' 2017-07-12
首件确认,14'24'55'' 2017-07-12~14'25'34'' 2017-07-12,00D-00'00'39'',14'25'34'' 2017-07-12
首件确认,14'38'42'' 2017-07-12~14'49'07'' 2017-07-12,00D-00'10'25'',14'49'07'' 2017-07-12
首件确认,14'50'04'' 2017-07-12~14'50'54'' 2017-07-12,00D-00'00'50'',14'50'54'' 2017-07-12
首件确认,14'51'40'' 2017-07-12~14'51'51'' 2017-07-12,00D-00'00'11'',14'51'51'' 2017-07-12
首件确认,14'51'53'' 2017-07-12~14'52'03'' 2017-07-12,00D-00'00'10'',14'52'03'' 2017-07-12
首件确认,14'52'50'' 2017-07-12~14'54'00'' 2017-07-12,00D-00'01'10'',14'54'00'' 2017-07-12
首件确认,14'54'45'' 2017-07-12~14'55'08'' 2017-07-12,00D-00'00'23'',14'55'08'' 2017-07-12
首件确认,14'55'54'' 2017-07-12~14'56'24'' 2017-07-12,00D-00'00'30'',14'56'24'' 2017-07-12
首件确认,14'56'55'' 2017-07-12~14'57'15'' 2017-07-12,00D-00'00'20'',14'57'15'' 2017-07-12
首件确认,14'57'46'' 2017-07-12~14'58'13'' 2017-07-12,00D-00'00'27'',14'58'13'' 2017-07-12
首件确认,14'58'40'' 2017-07-12~14'59'04'' 2017-07-12,00D-00'00'24'',14'59'04'' 2017-07-12
首件确认,14'59'31'' 2017-07-12~14'59'57'' 2017-07-12,00D-00'00'26'',14'59'57'' 2017-07-12
首件确认,15'00'21'' 2017-07-12~15'00'53'' 2017-07-12,00D-00'00'32'',15'00'53'' 2017-07-12
首件确认,15'01'20'' 2017-07-12~15'02'34'' 2017-07-12,00D-00'01'14'',15'02'34'' 2017-07-12
首件确认,15'02'56'' 2017-07-12~15'03'25'' 2017-07-12,00D-00'00'29'',15'03'25'' 2017-07-12
首件确认,15'03'51'' 2017-07-12~15'04'20'' 2017-07-12,00D-00'00'29'',15'04'20'' 2017-07-12
首件确认,15'03'51'' 2017-07-12~15'04'20'' 2017-07-1215'05'02'' 2017-07-12,00D-00'00'15'',15'05'02'' 2017-07-12
首件确认,15'05'28'' 2017-07-12~15'05'48'' 2017-07-12,00D-00'00'20'',15'05'48'' 2017-07-12
首件确认,15'05'28'' 2017-07-12~15'05'48'' 2017-07-1215'06'24'' 2017-07-12,00D-00'00'56'',15'06'24'' 2017-07-12
首件确认,15'06'44'' 2017-07-12~15'26'15'' 2017-07-12,00D-00'19'31'',15'26'15'' 2017-07-12
首件确认,15'29'13'' 2017-07-12~15'29'44'' 2017-07-12,00D-00'00'31'',15'29'44'' 2017-07-12
首件确认,15'44'44'' 2017-07-12~15'46'42'' 2017-07-12,00D-00'01'58'',15'46'42'' 2017-07-12
首件确认,10'45'03'' 2017-07-13~10'45'07'' 2017-07-13,00D-00'00'04'',10'45'07'' 2017-07-13
首件确认,10'45'11'' 2017-07-13~10'45'25'' 2017-07-13,00D-00'00'14'',10'45'25'' 2017-07-13
首件确认,10'45'30'' 2017-07-13~10'45'47'' 2017-07-13,00D-00'00'17'',10'45'47'' 2017-07-13
首件确认,10'46'01'' 2017-07-13~10'51'47'' 2017-07-13,00D-00'05'46'',10'51'47'' 2017-07-13
首件确认,10'56'11'' 2017-07-13~10'57'36'' 2017-07-13,00D-00'01'25'',10'57'36'' 2017-07-13
首件确认,10'58'02'' 2017-07-13~11'05'03'' 2017-07-13,00D-00'07'01'',11'05'03'' 2017-07-13
首件确认,11'05'32'' 2017-07-13~11'05'42'' 2017-07-13,00D-00'00'10'',11'05'42'' 2017-07-13
首件确认,10'33'59'' 2017-07-15~10'34'11'' 2017-07-15,00D-00'00'12'',10'34'11'' 2017-07-15
首件确认,10'34'29'' 2017-07-15~10'36'54'' 2017-07-15,00D-00'02'25'',10'36'54'' 2017-07-15
首件确认,10'37'50'' 2017-07-15~10'38'42'' 2017-07-15,00D-00'00'52'',10'38'42'' 2017-07-15
首件确认,10'39'17'' 2017-07-15~10'40'02'' 2017-07-15,00D-00'00'45'',10'40'02'' 2017-07-15
首件确认,10'40'11'' 2017-07-15~10'41'55'' 2017-07-15,00D-00'01'44'',10'41'55'' 2017-07-15
首件确认,10'42'22'' 2017-07-15~10'53'25'' 2017-07-15,00D-00'11'03'',10'53'25'' 2017-07-15
首件确认,10'54'00'' 2017-07-15~10'56'21'' 2017-07-15,00D-00'02'21'',10'56'21'' 2017-07-15
首件确认,10'56'43'' 2017-07-15~10'57'22'' 2017-07-15,00D-00'00'39'',10'57'22'' 2017-07-15
首件确认,10'58'04'' 2017-07-15~11'00'04'' 2017-07-15,00D-00'02'00'',11'00'04'' 2017-07-15
首件确认,11'00'46'' 2017-07-15~11'11'39'' 2017-07-15,00D-00'10'53'',11'11'39'' 2017-07-15
首件确认,11'00'46'' 2017-07-15~11'11'39'' 2017-07-1511'13'32'' 2017-07-15,00D-00'12'46'',11'13'32'' 2017-07-15
首件确认,11'13'52'' 2017-07-15~11'14'45'' 2017-07-15,00D-00'00'53'',11'14'45'' 2017-07-15
首件确认,11'15'29'' 2017-07-15~13'51'56'' 2017-07-15,00D-02'36'27'',13'51'56'' 2017-07-15
